Licence area,Customer Unique Identifier,Event ID,Site,Start time UTC,Start time Local,End time UTC,End time Local,Duration (hours),Outage related curtailment-Total energy reduction (MWh),Average access reduction (MW),Reason For curtailment,Column 13
Yorkshire,DER-0001695,EID-000261722,West Melton / Thorpe Marsh,2023-06-09T14:54:00+01:00,2023-06-09T15:54:00+01:00,2023-06-09T15:44:00+01:00,2023-06-09T16:44:00+01:00,0.83,27.5,33,Network Maintenance,
Yorkshire,DER-0001695,EID-000348452,West Melton / Thorpe Marsh,2024-06-24T11:06:00+01:00,2024-06-24T12:06:00+01:00,2024-07-26T11:14:00+01:00,2024-07-26T12:14:00+01:00,768.13,25348.4,33,Network Maintenance,
Yorkshire,DER-0001695,EID-000357192,West Melton / Thorpe Marsh,2024-07-28T08:49:00+01:00,2024-07-28T09:49:00+01:00,2024-07-28T16:01:00+01:00,2024-07-28T17:01:00+01:00,7.2,237.6,33,Network Reinforcement,
Yorkshire,DER-0001221,EID-000352292,Elland,2024-07-16T15:40:00+01:00,2024-07-16T16:40:00+01:00,2024-07-19T19:33:00+01:00,2024-07-19T20:33:00+01:00,75.88,1138.19,15,Network Maintenance,
Yorkshire,DER-0001674,EID-000293192,West Melton / Thorpe Marsh,2024-04-26T10:44:00+01:00,2024-04-26T11:44:00+01:00,2024-04-26T15:47:00+01:00,2024-04-26T16:47:00+01:00,5.05,20.2,4,Network Reinforcement,
Yorkshire,DER-0001668,EID-000293192,West Melton / Thorpe Marsh,2024-04-26T10:49:00+01:00,2024-04-26T11:49:00+01:00,2024-04-26T16:28:00+01:00,2024-04-26T17:28:00+01:00,5.65,7.5,1.33,Network Reinforcement,
Yorkshire,DER-0001676,EID-000350962,West Melton / Thorpe Marsh,2024-06-23T09:29:00+01:00,2024-06-23T10:29:00+01:00,2024-06-23T12:22:00+01:00,2024-06-23T13:22:00+01:00,2.88,17.73,6.15,Vegetation Management,
Yorkshire,DER-0001348,EID-000328862,Creyke Beck,2024-03-15T10:44:00+00:00,2024-03-15T10:44:00+00:00,2024-03-15T12:01:00+00:00,2024-03-15T12:01:00+00:00,1.28,4.57,3.56,Network Maintenance,
Yorkshire,DER-0001179,EID-000328862,Drax,2024-03-15T10:43:00+00:00,2024-03-15T10:43:00+00:00,2024-03-15T12:01:00+00:00,2024-03-15T12:01:00+00:00,1.3,19.58,15.06,Network Maintenance,
Yorkshire,DER-0001179,EID-000330682,Drax,2024-03-26T14:15:00+00:00,2024-03-26T14:15:00+00:00,2024-03-26T14:37:00+00:00,2024-03-26T14:37:00+00:00,0.37,5.52,15.06,Network Maintenance,
Yorkshire,DER-0001001,EID-000281962,Creyke Beck,2023-06-26T10:55:00+01:00,2023-06-26T11:55:00+01:00,2023-09-08T12:39:00+01:00,2023-09-08T13:39:00+01:00,1777.73,3546.58,2,Network Reinforcement,
Yorkshire,DER-0001472,EID-000298992,Keadby,2023-10-09T08:45:00+01:00,2023-10-09T09:45:00+01:00,2023-10-13T16:09:00+01:00,2023-10-13T17:09:00+01:00,103.4,1271.82,12.3,Vegetation Management,
Yorkshire,DER-0001470,EID-000298992,Keadby,2023-10-09T08:45:00+01:00,2023-10-09T09:45:00+01:00,2023-10-13T16:09:00+01:00,2023-10-13T17:09:00+01:00,103.4,90.79,0.88,Vegetation Management,
Yorkshire,DER-0000954,EID-000304352,Camblesforth,2023-11-14T10:26:00+00:00,2023-11-14T10:26:00+00:00,2023-11-14T15:39:00+00:00,2023-11-14T15:39:00+00:00,5.22,128.23,24.58,Vegetation Management,
Yorkshire,DER-0001073,EID-000379562,Creyke Beck,2025-01-08T09:23:00+00:00,2025-01-08T09:23:00+00:00,2025-01-09T17:12:00+00:00,2025-01-09T17:12:00+00:00,31.82,730.19,22.95,Network Maintenance,
Yorkshire,DER-0001073,EID-000366452,Creyke Beck,2024-10-14T11:03:00+01:00,2024-10-14T12:03:00+01:00,2024-10-14T11:46:00+01:00,2024-10-14T12:46:00+01:00,0.72,5.7,7.95,Network Reinforcement,
Yorkshire,DER-0001073,EID-000362612,Creyke Beck,2024-10-18T16:00:00+01:00,2024-10-18T17:00:00+01:00,2024-10-18T16:30:00+01:00,2024-10-18T17:30:00+01:00,0.5,3.98,7.95,Network Maintenance,
Yorkshire,DER-0001302,EID-000370552,Ferrybridge B,2024-10-23T08:51:00+01:00,2024-10-23T09:51:00+01:00,2024-10-25T10:19:00+01:00,2024-10-25T11:19:00+01:00,49.47,592.12,11.97,Vegetation Management,
Yorkshire,DER-0001647,EID-000313392,West Melton Section 3,2023-11-30T10:22:00+00:00,2023-11-30T10:22:00+00:00,2023-11-30T14:15:00+00:00,2023-11-30T14:15:00+00:00,3.88,24.9,6.41,Network Maintenance,
Yorkshire,DER-0001479,EID-000299012,Keadby,2023-11-20T10:30:00+00:00,2023-11-20T10:30:00+00:00,2023-11-24T14:05:00+00:00,2023-11-24T14:05:00+00:00,99.58,31.34,0.31,Vegetation Management,
Yorkshire,DER-0001660,EID-000278692,West Melton / Thorpe Marsh,2023-08-21T11:46:00+01:00,2023-08-21T12:46:00+01:00,2023-08-21T12:32:00+01:00,2023-08-21T13:32:00+01:00,0.77,24.53,32,Network Maintenance,
Yorkshire,DER-0001619,EID-000373322,Thurcroft,2024-11-28T11:43:00+00:00,2024-11-28T11:43:00+00:00,2024-11-28T15:08:00+00:00,2024-11-28T15:08:00+00:00,3.42,51.81,15.17,Network Reinforcement,
Yorkshire,DER-0001714,EID-000358572,Ferrybridge B,2024-08-27T09:50:00+01:00,2024-08-27T10:50:00+01:00,2024-10-03T09:45:00+01:00,2024-10-03T10:45:00+01:00,887.92,395,0.44,Network Reinforcement,
Yorkshire,DER-0001791,EID-000342002,Ferrybridge B,2024-05-13T07:54:00+01:00,2024-05-13T08:54:00+01:00,2024-05-13T09:24:00+01:00,2024-05-13T10:24:00+01:00,1.5,1.69,1.13,Network Maintenance,
Yorkshire,DER-0001684,EID-000267982,West Melton / Thorpe Marsh,2023-05-13T14:56:00+01:00,2023-05-13T15:56:00+01:00,2023-05-14T10:28:00+01:00,2023-05-14T11:28:00+01:00,19.53,16.7,0.86,Vegetation Management,
Yorkshire,DER-0001694,EID-000350852,West Melton / Thorpe Marsh,2024-07-23T09:50:00+01:00,2024-07-23T10:50:00+01:00,2024-07-24T16:35:00+01:00,2024-07-24T17:35:00+01:00,30.75,381.24,12.4,Network Reinforcement,
Yorkshire,DER-0001694,EID-000369042,West Melton / Thorpe Marsh,2024-10-23T08:38:00+01:00,2024-10-23T09:38:00+01:00,2024-10-23T17:39:00+01:00,2024-10-23T18:39:00+01:00,9.02,111.79,12.4,Network Maintenance,
Yorkshire,DER-0001099,EID-000264232,Creyke Beck,2024-01-25T09:11:00+00:00,2024-01-25T09:11:00+00:00,2024-01-25T10:02:00+00:00,2024-01-25T10:02:00+00:00,0.85,19.12,22.5,Network Reinforcement,
Yorkshire,DER-0001055,EID-000275072,Creyke Beck,2023-06-05T10:36:00+01:00,2023-06-05T11:36:00+01:00,2023-06-06T14:43:00+01:00,2023-06-06T15:43:00+01:00,28.12,381.05,13.55,Network Maintenance,
Yorkshire,DER-0001073,EID-000355792,Creyke Beck,2024-08-07T10:48:00+01:00,2024-08-07T11:48:00+01:00,2024-08-07T18:17:00+01:00,2024-08-07T19:17:00+01:00,7.48,171.74,22.95,Network Maintenance,
Yorkshire,DER-0001073,EID-000369262,Creyke Beck,2024-02-19T12:49:00+00:00,2024-02-19T12:49:00+00:00,2024-05-14T09:29:00+01:00,2024-05-14T10:29:00+01:00,2036.67,46718.55,22.95,Network Reinforcement,
Yorkshire,DER-0001073,EID-000369262,Creyke Beck,2024-05-14T09:29:00+01:00,2024-05-14T10:29:00+01:00,2024-08-07T10:48:00+01:00,2024-08-07T11:48:00+01:00,2041.32,16228.47,7.95,Network Reinforcement,
Yorkshire,DER-0001925,EID-000379562,Creyke Beck,2025-01-08T08:36:00+00:00,2025-01-08T08:36:00+00:00,2025-01-09T17:12:00+00:00,2025-01-09T17:12:00+00:00,32.6,52.74,1.62,Network Reinforcement,
Yorkshire,DER-0001157,EID-000382272,Drax,2025-01-08T09:21:00+00:00,2025-01-08T09:21:00+00:00,2025-01-09T15:42:00+00:00,2025-01-09T15:42:00+00:00,30.35,265.56,8.75,Network Reinforcement,
Yorkshire,DER-0001628,EID-000332472,West Melton Section 3,2024-03-18T08:12:00+00:00,2024-03-18T08:12:00+00:00,2024-03-18T12:47:00+00:00,2024-03-18T12:47:00+00:00,4.58,4.35,0.95,Vegetation Management,
Yorkshire,DER-0001829,EID-000262002,Thurcroft,2023-10-16T11:22:00+01:00,2023-10-16T12:22:00+01:00,2023-10-16T14:55:00+01:00,2023-10-16T15:55:00+01:00,3.55,36.91,10.4,Network Maintenance,
Yorkshire,DER-0001736,EID-000355262,Grimsby West,2024-09-30T09:30:00+01:00,2024-09-30T10:30:00+01:00,2024-10-16T12:18:00+01:00,2024-10-16T13:18:00+01:00,386.8,1595.55,4.13,Network Maintenance,
Yorkshire,DER-0001352,EID-000355262,Grimsby West,2024-09-30T09:30:00+01:00,2024-09-30T10:30:00+01:00,2024-10-16T12:18:00+01:00,2024-10-16T13:18:00+01:00,386.8,2320.8,6,Network Maintenance,
Yorkshire,DER-0001748,EID-000355262,Grimsby West,2024-09-30T09:30:00+01:00,2024-09-30T10:30:00+01:00,2024-10-16T12:18:00+01:00,2024-10-16T13:18:00+01:00,386.8,2320.8,6,Network Maintenance,
Yorkshire,DER-0001352,EID-000362622,Grimsby West,2024-12-10T15:20:00+00:00,2024-12-10T15:20:00+00:00,2024-12-11T15:36:00+00:00,2024-12-11T15:36:00+00:00,24.27,145.6,6,Network Maintenance,
Yorkshire,DER-0001925,EID-000333542,Creyke Beck,2024-09-02T08:00:00+01:00,2024-09-02T09:00:00+01:00,2024-09-12T10:17:00+01:00,2024-09-12T11:17:00+01:00,242.28,1980.79,8.18,Network Maintenance,
Northeast,DER-0000001,EID-000363171,Blyth 132kV,2024-11-09T08:38:00+00:00,2024-11-09T08:38:00+00:00,2024-11-10T21:30:00+00:00,2024-11-10T21:30:00+00:00,36.87,4424,120,Network Maintenance,
Northeast,DER-0000001,EID-000265091,Blyth 132kV,2023-05-10T10:26:00+01:00,2023-05-10T11:26:00+01:00,2023-05-10T16:48:00+01:00,2023-05-10T17:48:00+01:00,6.37,764,120,Network Maintenance,
Northeast,DER-0000008,EID-000364311,Blyth 132kV,2024-11-10T09:40:00+00:00,2024-11-10T09:40:00+00:00,2024-11-11T11:20:00+00:00,2024-11-11T11:20:00+00:00,25.67,1042.39,40.61,Network Maintenance,
Northeast,DER-0000008,EID-000363171,Blyth 132kV,2024-11-09T08:38:00+00:00,2024-11-09T08:38:00+00:00,2024-11-09T15:11:00+00:00,2024-11-09T15:11:00+00:00,6.55,266.01,40.61,Network Maintenance,
Northeast,DER-0000012,EID-000356541,Blyth 66kV,2024-11-13T09:31:00+00:00,2024-11-13T09:31:00+00:00,2024-11-13T11:10:00+00:00,2024-11-13T11:10:00+00:00,1.65,4.01,2.43,Network Maintenance,
Northeast,DER-0000020,EID-000285101,Blyth 66kV,2023-06-30T08:27:00+01:00,2023-06-30T09:27:00+01:00,2023-06-30T14:57:00+01:00,2023-06-30T15:57:00+01:00,6.5,70.17,10.79,Network Maintenance,
Northeast,DER-0000020,EID-000349901,Blyth 66kV,2024-09-11T14:53:00+01:00,2024-09-11T15:53:00+01:00,2024-09-11T16:46:00+01:00,2024-09-11T17:46:00+01:00,1.88,20.33,10.79,Network Maintenance,
Northeast,DER-0000025,EID-000339971,Blyth 66kV,2024-07-18T08:35:00+01:00,2024-07-18T09:35:00+01:00,2024-07-18T09:30:00+01:00,2024-07-18T10:30:00+01:00,0.92,2.61,2.85,Network Reinforcement,
Northeast,DER-0000008,EID-000349441,Blyth 132kV,2024-08-26T08:04:00+01:00,2024-08-26T09:04:00+01:00,2024-08-27T12:14:00+01:00,2024-08-27T13:14:00+01:00,28.17,1143.92,40.61,Network Maintenance,
Northeast,DER-0000151,EID-000339241,Norton,2024-08-28T07:36:00+01:00,2024-08-28T08:36:00+01:00,2024-08-30T14:11:00+01:00,2024-08-30T15:11:00+01:00,54.58,1099.42,20.14,Network Maintenance,
Northeast,DER-0000151,EID-000283311,Norton,2023-07-07T10:03:00+01:00,2023-07-07T11:03:00+01:00,2023-07-15T07:02:00+01:00,2023-07-15T08:02:00+01:00,188.98,3806.5,20.14,Network Maintenance,
Northeast,DER-0000152,EID-000310591,Norton,2024-08-22T09:04:00+01:00,2024-08-22T10:04:00+01:00,2024-08-23T14:28:00+01:00,2024-08-23T15:28:00+01:00,29.4,294,10,Network Maintenance,
Northeast,DER-0000133,EID-000338801,Norton,2024-06-04T10:47:00+01:00,2024-06-04T11:47:00+01:00,2024-06-06T13:40:00+01:00,2024-06-06T14:40:00+01:00,50.88,35.56,0.7,Network Maintenance,
Northeast,DER-0000114,EID-000315721,Norton,2024-07-08T09:18:00+01:00,2024-07-08T10:18:00+01:00,2024-07-15T18:32:00+01:00,2024-07-15T19:32:00+01:00,177.23,1634.98,9.23,Network Maintenance,
Northeast,DER-0000114,EID-000362711,Norton,2024-10-30T09:09:00+00:00,2024-10-30T09:09:00+00:00,2024-10-30T15:42:00+00:00,2024-10-30T15:42:00+00:00,6.55,60.42,9.23,Network Maintenance,
Northeast,DER-0000109,EID-000328201,Norton,2024-05-29T09:36:00+01:00,2024-05-29T10:36:00+01:00,2024-05-29T14:02:00+01:00,2024-05-29T15:02:00+01:00,4.43,3.44,0.78,Network Maintenance,
Northeast,DER-0000129,EID-000273651,Norton,2023-04-26T08:57:00+01:00,2023-04-26T09:57:00+01:00,2023-04-26T17:21:00+01:00,2023-04-26T18:21:00+01:00,8.4,11.97,1.43,Network Reinforcement,
Northeast,DER-0000129,EID-000267721,Norton,2023-07-12T09:30:00+01:00,2023-07-12T10:30:00+01:00,2023-07-12T17:37:00+01:00,2023-07-12T18:37:00+01:00,8.12,11.57,1.43,Network Reinforcement,
Northeast,DER-0000135,EID-000333511,Norton,2024-07-26T09:11:00+01:00,2024-07-26T10:11:00+01:00,2024-07-26T17:30:00+01:00,2024-07-26T18:30:00+01:00,8.32,11.95,1.44,Network Maintenance,
Northeast,DER-0000177,EID-000329801,Norton,2024-05-31T09:08:00+01:00,2024-05-31T10:08:00+01:00,2024-05-31T13:39:00+01:00,2024-05-31T14:39:00+01:00,4.52,3.51,0.78,Network Maintenance,
Northeast,DER-0000363,EID-000348231,Norton,2024-09-16T09:14:00+01:00,2024-09-16T10:14:00+01:00,2024-09-18T19:02:00+01:00,2024-09-18T20:02:00+01:00,57.8,86.7,1.5,Network Maintenance,
Northeast,DER-0000454,EID-000385161,Norton,2025-05-06T09:56:00+01:00,2025-05-06T10:56:00+01:00,2025-05-06T11:50:00+01:00,2025-05-06T12:50:00+01:00,1.9,11.51,6.06,Network Maintenance,
Northeast,DER-0000268,EID-000374801,Stella North,2025-02-10T09:07:00+00:00,2025-02-10T09:07:00+00:00,2025-02-14T15:15:00+00:00,2025-02-14T15:15:00+00:00,102.13,436.62,4.28,Network Maintenance,
Northeast,DER-0000086,EID-000382441,Lackenby,2025-03-19T09:19:00+00:00,2025-03-19T09:19:00+00:00,2025-03-19T13:39:00+00:00,2025-03-19T13:39:00+00:00,4.33,4.87,1.13,Network Maintenance,
Northeast,DER-0000095,EID-000289721,Lackenby,2023-08-09T09:51:00+01:00,2023-08-09T10:51:00+01:00,2023-08-09T16:41:00+01:00,2023-08-09T17:41:00+01:00,6.83,4.03,0.59,Network Maintenance,
Northeast,DER-0000097,EID-000231981,Lackenby,2024-02-28T10:05:00+00:00,2024-02-28T10:05:00+00:00,2024-02-28T14:37:00+00:00,2024-02-28T14:37:00+00:00,4.53,23.12,5.1,Network Maintenance,
Northeast,DER-0000041,EID-000267411,Hartmoor,2023-04-20T07:45:00+01:00,2023-04-20T08:45:00+01:00,2023-04-20T14:10:00+01:00,2023-04-20T15:10:00+01:00,6.42,58.06,9.05,Network Maintenance,
Northeast,DER-0000060,EID-000269401,Knaresborough,2023-05-22T10:00:00+01:00,2023-05-22T11:00:00+01:00,2023-05-22T17:15:00+01:00,2023-05-22T18:15:00+01:00,7.25,82.65,11.4,Network Maintenance,
Northeast,DER-0000076,EID-000003445,Knaresborough,2023-11-02T07:13:00+00:00,2023-11-02T07:13:00+00:00,2023-11-02T20:26:00+00:00,2023-11-02T20:26:00+00:00,13.22,47.71,3.61,Network Reinforcement,
Northeast,DER-0000206,EID-000328181,Saltholme,2024-06-12T09:45:00+01:00,2024-06-12T10:45:00+01:00,2024-06-12T17:18:00+01:00,2024-06-12T18:18:00+01:00,7.55,49.63,6.57,Network Maintenance,
Northeast,DER-0000209,EID-000352381,Saltholme,2024-10-14T09:53:00+01:00,2024-10-14T10:53:00+01:00,2024-10-15T11:20:00+01:00,2024-10-15T12:20:00+01:00,25.45,1206.46,47.41,Network Maintenance,
Northeast,DER-0000189,EID-000270881,Osbaldwick,2023-07-19T11:14:00+01:00,2023-07-19T12:14:00+01:00,2023-07-20T12:47:00+01:00,2023-07-20T13:47:00+01:00,25.55,218.45,8.55,Network Maintenance,
Northeast,DER-0000213,EID-000272571,Spadeadam,2023-05-08T14:03:00+01:00,2023-05-08T15:03:00+01:00,2023-05-19T12:45:00+01:00,2023-05-19T13:45:00+01:00,262.7,1392.31,5.3,Network Maintenance,
Yorkshire,DER-0000950,EID-000322642,Bradford West,2024-01-25T09:46:00+00:00,2024-01-25T09:46:00+00:00,2024-01-25T10:52:00+00:00,2024-01-25T10:52:00+00:00,1.1,1.59,1.45,Network Maintenance,
Yorkshire,DER-0000906,EID-000310382,Bradford West,2023-10-17T08:15:00+01:00,2023-10-17T09:15:00+01:00,2023-10-17T15:15:00+01:00,2023-10-17T16:15:00+01:00,7,3.32,0.48,Vegetation Management,
Yorkshire,DER-0001221,EID-000285772,Elland,2024-02-05T09:15:00+00:00,2024-02-05T09:15:00+00:00,2024-02-11T11:40:00+00:00,2024-02-11T11:40:00+00:00,146.42,2196.14,15,Vegetation Management,
Yorkshire,DER-0001579,EID-000309592,Skelton Grange,2023-12-01T13:33:00+00:00,2023-12-01T13:33:00+00:00,2023-12-01T13:46:00+00:00,2023-12-01T13:46:00+00:00,0.22,2.3,10.6,Network Maintenance,
Yorkshire,DER-0001674,EID-000306662,West Melton / Thorpe Marsh,2023-10-23T12:27:00+01:00,2023-10-23T13:27:00+01:00,2023-10-25T09:21:00+01:00,2023-10-25T10:21:00+01:00,44.9,179.6,4,Network Reinforcement,
Yorkshire,DER-0001179,EID-000338062,Drax,2024-04-03T10:10:00+01:00,2024-04-03T11:10:00+01:00,2024-04-11T15:44:00+01:00,2024-04-11T16:44:00+01:00,197.57,2974.91,15.06,Network Reinforcement,
Yorkshire,DER-0000999,EID-000281962,Creyke Beck,2023-06-26T11:56:00+01:00,2023-06-26T12:56:00+01:00,2023-08-01T13:45:00+01:00,2023-08-01T14:45:00+01:00,865.82,7822.22,9.03,Network Reinforcement,
Yorkshire,DER-0000966,EID-000281962,Creyke Beck,2023-06-26T11:53:00+01:00,2023-06-26T12:53:00+01:00,2023-09-08T12:39:00+01:00,2023-09-08T13:39:00+01:00,1776.77,12659.46,7.13,Network Reinforcement,
Yorkshire,DER-0001001,EID-000326382,Creyke Beck,2024-01-15T09:24:00+00:00,2024-01-15T09:24:00+00:00,2024-01-18T11:53:00+00:00,2024-01-18T11:53:00+00:00,74.48,148.59,2,Network Maintenance,
Yorkshire,DER-0000965,EID-000307812,Camblesforth,2023-11-07T09:22:00+00:00,2023-11-07T09:22:00+00:00,2023-11-07T14:14:00+00:00,2023-11-07T14:14:00+00:00,4.87,101.53,20.86,Vegetation Management,
Yorkshire,DER-0000960,EID-000283762,Camblesforth,2023-05-23T07:08:00+01:00,2023-05-23T08:08:00+01:00,2023-05-23T15:00:00+01:00,2023-05-23T16:00:00+01:00,7.87,199.32,25.34,Network Maintenance,
Yorkshire,DER-0000954,EID-000283762,Camblesforth,2023-05-23T07:08:00+01:00,2023-05-23T08:08:00+01:00,2023-05-23T15:00:00+01:00,2023-05-23T16:00:00+01:00,7.87,193.37,24.58,Network Maintenance,
Yorkshire,DER-0000960,EID-000289612,Camblesforth,2023-07-17T08:50:00+01:00,2023-07-17T09:50:00+01:00,2023-07-20T12:54:00+01:00,2023-07-20T13:54:00+01:00,76.07,1927.32,25.34,Network Maintenance,
Yorkshire,DER-0001572,EID-000288662,Skelton Grange,2023-07-10T09:32:00+01:00,2023-07-10T10:32:00+01:00,2023-07-15T10:23:00+01:00,2023-07-15T11:23:00+01:00,120.85,211.49,1.75,Network Maintenance,
Yorkshire,DER-0001073,EID-000252192,Creyke Beck,2023-04-17T09:53:00+01:00,2023-04-17T10:53:00+01:00,2023-04-21T12:33:00+01:00,2023-04-21T13:33:00+01:00,98.67,784.4,7.95,Network Reinforcement,
Yorkshire,DER-0001073,EID-000264232,Creyke Beck,2023-09-12T11:29:00+01:00,2023-09-12T12:29:00+01:00,2023-09-21T10:23:00+01:00,2023-09-21T11:23:00+01:00,214.9,1708.45,7.95,Network Reinforcement,
Yorkshire,DER-0001340,EID-000357552,Grimsby West,2024-08-28T14:19:00+01:00,2024-08-28T15:19:00+01:00,2024-08-29T12:46:00+01:00,2024-08-29T13:46:00+01:00,22.45,336.75,15,Network Maintenance,
Yorkshire,DER-0001340,EID-000363822,Grimsby West,2024-09-23T11:46:00+01:00,2024-09-23T12:46:00+01:00,2024-09-25T12:23:00+01:00,2024-09-25T13:23:00+01:00,48.62,729.25,15,Network Maintenance,
Yorkshire,DER-0001274,EID-000285962,Ferrybridge B,2023-07-31T08:54:00+01:00,2023-07-31T09:54:00+01:00,2023-08-01T17:45:00+01:00,2023-08-01T18:45:00+01:00,32.85,238.89,7.27,Vegetation Management,
Yorkshire,DER-0001672,EID-000280942,West Melton / Thorpe Marsh,2023-05-10T09:17:00+01:00,2023-05-10T10:17:00+01:00,2023-05-10T11:31:00+01:00,2023-05-10T12:31:00+01:00,2.23,13.4,6,Network Maintenance,
Yorkshire,DER-0001536,EID-000336822,Saltend North,2024-04-30T10:45:00+01:00,2024-04-30T11:45:00+01:00,2024-04-30T18:50:00+01:00,2024-04-30T19:50:00+01:00,8.08,103.67,12.83,Network Maintenance,
Yorkshire,DER-0001406,EID-000322872,Keadby,2024-02-05T11:15:00+00:00,2024-02-05T11:15:00+00:00,2024-02-09T15:30:00+00:00,2024-02-09T15:30:00+00:00,100.25,73.57,0.73,Network Maintenance,
Yorkshire,DER-0001406,EID-000297432,Keadby,2023-09-11T10:17:00+01:00,2023-09-11T11:17:00+01:00,2023-09-22T16:38:00+01:00,2023-09-22T17:38:00+01:00,270.35,377.96,1.4,Vegetation Management,
Yorkshire,DER-0001406,EID-000361842,Keadby,2024-09-20T10:44:00+01:00,2024-09-20T11:44:00+01:00,2024-10-08T16:26:00+01:00,2024-10-08T17:26:00+01:00,437.7,611.92,1.4,Network Reinforcement,
Yorkshire,DER-0001465,EID-000297092,Keadby,2023-09-25T08:28:00+01:00,2023-09-25T09:28:00+01:00,2023-09-29T18:58:00+01:00,2023-09-29T19:58:00+01:00,106.5,1357.88,12.75,Vegetation Management,
Yorkshire,DER-0001660,EID-000278692,West Melton / Thorpe Marsh,2023-08-21T08:58:00+01:00,2023-08-21T09:58:00+01:00,2023-08-21T09:10:00+01:00,2023-08-21T10:10:00+01:00,0.2,6.4,32,Network Maintenance,
Yorkshire,DER-0001337,EID-000375102,Ferrybridge B,2024-12-05T10:11:00+00:00,2024-12-05T10:11:00+00:00,2024-12-05T15:22:00+00:00,2024-12-05T15:22:00+00:00,5.18,9.85,1.9,Network Maintenance,
Yorkshire,DER-0001546,EID-000249512,Saltend North,2023-09-04T08:54:00+01:00,2023-09-04T09:54:00+01:00,2023-09-07T12:17:00+01:00,2023-09-07T13:17:00+01:00,75.38,189.4,2.51,Network Maintenance,
Yorkshire,DER-0001694,EID-000267982,West Melton / Thorpe Marsh,2023-05-13T14:56:00+01:00,2023-05-13T15:56:00+01:00,2023-05-14T10:28:00+01:00,2023-05-14T11:28:00+01:00,19.53,242.17,12.4,Vegetation Management,
Yorkshire,DER-0001531,EID-000372302,Saltend North,2024-11-04T09:19:00+00:00,2024-11-04T09:19:00+00:00,2024-11-04T15:57:00+00:00,2024-11-04T15:57:00+00:00,6.63,1.98,0.3,Network Maintenance,
Yorkshire,DER-0001018,EID-000350032,Creyke Beck,2024-07-01T09:47:00+01:00,2024-07-01T10:47:00+01:00,2024-07-01T15:00:00+01:00,2024-07-01T16:00:00+01:00,5.22,30.97,5.94,Network Maintenance,
Yorkshire,DER-0001021,EID-000314992,Creyke Beck,2023-12-15T08:35:00+00:00,2023-12-15T08:35:00+00:00,2023-12-15T12:15:00+00:00,2023-12-15T12:15:00+00:00,3.67,2.81,0.77,Network Maintenance,
